# Merged run metadata for plotting. One row per run.
#run:fill,time,delivered(/fb),recorded(/fb),integrated_recorded(/fb)
360296:8260,10/13/22 12:07:36,0.136027219,0.131649125,13.645236350
360327:8263,10/14/22 00:26:23,0.138034398,0.131807126,13.777043476
360390:8267,10/14/22 20:29:39,0.027213613,0.026124683,13.803168159
360391:8267,10/14/22 21:01:37,0.001716142,0.001518744,13.804686903
360392:8267,10/14/22 21:10:16,0.025356813,0.023957242,13.828644145
360393:8267,10/14/22 21:36:29,0.052177632,0.048985637,13.877629782
360400:8269,10/15/22 02:47:39,0.024828348,0.023714826,13.901344608
360413:8272,10/15/22 09:30:38,0.037295905,0.035547348,13.936891956
360428:8273,10/15/22 13:03:02,0.029381282,0.027455929,13.964347885
360432:8273,10/15/22 13:53:32,0.011865409,0.011139027,13.975486912
360435:8273,10/15/22 14:15:34,0.019968838,0.018669000,13.994155912
360437:8273,10/15/22 14:45:40,0.016873563,0.016219057,14.010374969
360438:8273,10/15/22 15:05:14,0.002509526,0.002350541,14.012725510
360458:8274,10/15/22 20:24:36,0.068130152,0.064280677,14.077006187
360459:8274,10/15/22 21:47:03,0.474696725,0.455182588,14.532188775
360460:8274,10/16/22 06:28:58,0.239835274,0.232248838,14.764437613
360486:8276,10/16/22 17:01:39,0.114044111,0.107828935,14.872266548
360490:8276,10/16/22 19:58:50,0.381801625,0.364986922,15.237253470
360491:8276,10/17/22 03:43:58,0.041058394,0.039674830,15.276928300
360737:8289,10/19/22 10:35:46,0.000864103,0.000848257,15.277776557
360761:8293,10/19/22 15:02:58,0.009215753,0.009040481,15.286817038
360794:8295,10/19/22 23:57:32,0.278749914,0.265807247,15.552624285
360795:8295,10/20/22 04:25:12,0.148347163,0.142314079,15.694938364
360797:8295,10/20/22 10:44:41,0.001364346,0.001331782,15.696270146
360820:8297,10/20/22 13:48:59,0.363540031,0.345197319,16.041467465
360825:8297,10/20/22 20:18:00,0.118561010,0.113198388,16.154665853
360826:8297,10/20/22 22:40:05,0.035193936,0.033545051,16.188210904
360856:8299,10/21/22 11:12:55,0.003141094,0.003046684,16.191257588
360874:8301,10/21/22 16:54:00,0.003118038,0.003015739,16.194273327
360876:8301,10/21/22 17:32:24,0.021504260,0.020961668,16.215234995
360887:8302,10/21/22 22:37:33,0.045570707,0.042669329,16.257904324
360888:8302,10/21/22 23:28:39,0.127508243,0.121034559,16.378938883
360889:8302,10/22/22 01:26:51,0.010125069,0.008549121,16.387488004
360890:8302,10/22/22 01:43:25,0.196489579,0.188094872,16.575582876
360892:8302,10/22/22 05:12:51,0.095857833,0.092324484,16.667907360
360895:8302,10/22/22 07:34:19,0.180557544,0.175331545,16.843238905
360919:8304,10/22/22 16:02:11,0.337151072,0.320455648,17.163694553
360920:8304,10/22/22 21:13:18,0.001597803,0.001361331,17.165055884
360921:8304,10/22/22 21:17:35,0.082272681,0.078626577,17.243682461
360927:8305,10/23/22 01:07:11,0.683526419,0.653570576,17.897253037
360941:8306,10/23/22 15:40:28,0.026202597,0.024774096,17.922027133
360942:8306,10/23/22 16:14:08,0.148741878,0.140452648,18.062479781
360945:8306,10/23/22 18:45:57,0.039214998,0.037027297,18.099507078
360946:8306,10/23/22 19:27:46,0.147489584,0.140509218,18.240016296
360948:8306,10/23/22 22:02:16,0.042838873,0.041029674,18.281045970
360950:8306,10/23/22 22:53:44,0.217123984,0.208551053,18.489597023
360951:8306,10/24/22 03:37:03,0.045961028,0.044294341,18.533891364
360991:8307,10/24/22 10:26:00,0.027536143,0.026559006,18.560450370
360992:8307,10/24/22 11:58:16,0.010985449,0.010715993,18.571166363
361020:8309,10/24/22 17:05:24,0.026741651,0.025566229,18.596732592
361044:8311,10/25/22 00:03:59,0.048625967,0.045717848,18.642450440
361045:8311,10/25/22 00:55:10,0.393792986,0.374202713,19.016653153
361050:8311,10/25/22 07:24:54,0.003490903,0.003135028,19.019788181
361052:8311,10/25/22 07:34:36,0.021734933,0.020606209,19.040394390
361054:8311,10/25/22 08:06:43,0.136341685,0.130587943,19.170982333
361083:8312,10/25/22 14:24:52,0.007544232,0.007088490,19.178070823
361091:8313,10/25/22 16:40:42,0.050899230,0.049382579,19.227453402
361105:8314,10/25/22 23:35:51,0.147798787,0.140271038,19.367724440
361106:8314,10/26/22 02:21:10,0.011296438,0.010513599,19.378238039
361107:8314,10/26/22 02:35:30,0.057795901,0.054759989,19.432998028
361108:8314,10/26/22 03:38:10,0.002274180,0.002061992,19.435060020
361110:8314,10/26/22 03:43:42,0.068884368,0.064906896,19.499966916
361188:8315,10/26/22 18:31:47,0.060622643,0.054129124,19.554096040
361193:8315,10/26/22 19:27:43,0.012391055,0.010965603,19.565061643
361195:8315,10/26/22 19:41:33,0.008696332,0.007869450,19.572931093
361197:8315,10/26/22 19:58:35,0.733479009,0.677599670,20.250530763
361223:8316,10/27/22 13:21:52,0.294711132,0.270603821,20.521134584
361239:8317,10/27/22 20:30:03,0.439834464,0.420169976,20.941304560
361240:8317,10/28/22 03:22:51,0.300482566,0.289529036,21.230833596
361272:8319,10/28/22 12:59:35,0.052070028,0.049691618,21.280525214
361280:8319,10/28/22 13:56:59,0.115310632,0.109395166,21.389920380
361283:8319,10/28/22 15:46:07,0.011233002,0.010569163,21.400489543
361284:8319,10/28/22 16:01:19,0.015342110,0.014654333,21.415143876
361297:8320,10/28/22 20:09:25,0.394951903,0.376030137,21.791174013
361303:8321,10/29/22 06:03:41,0.797148723,0.763467956,22.554641969
361318:8322,10/29/22 23:24:17,0.195973233,0.186720226,22.741362195
361319:8322,10/30/22 02:23:53,0.070810027,0.068127835,22.809490030
361320:8322,10/30/22 03:42:46,0.153933603,0.147433843,22.956923873
361333:8324,10/30/22 10:06:23,0.125371336,0.119553876,23.076477749
361361:8327,10/31/22 02:35:35,0.018015764,0.014922628,23.091400377
361362:8327,10/31/22 02:56:28,0.006938084,0.006330990,23.097731367
361363:8327,10/31/22 03:10:21,0.009038134,0.007933130,23.105664497
361365:8327,10/31/22 04:28:09,0.202982572,0.191586282,23.297250779
361366:8327,10/31/22 07:40:31,0.077946933,0.073492105,23.370742884
