year,run,total,passed,efficiency
2024,383034,426876,408308,95.650259
2024,383036,38023,36345,95.586882
2024,383134,11172,10715,95.909416
2024,383148,56253,54033,96.053544
2024,383153,97257,92701,95.315504
2024,383155,1071713,1027693,95.892557
2024,383162,978486,936543,95.713480
2024,383163,235624,225822,95.839982
2024,383173,598774,572306,95.579634
2024,383174,542785,520001,95.802390
2024,383175,59354,56983,96.005324
2024,383247,57874,55251,95.467740
2024,383254,792871,747117,94.229326
2024,383255,457947,431624,94.251955
2024,383275,97973,93702,95.640636
2024,383276,193880,185391,95.621518
2024,383277,452524,432316,95.534380
2024,383323,813432,774383,95.199476
2024,383326,254773,242927,95.350371
2024,383363,471231,449383,95.363633
2024,383365,31541,30080,95.367934
2024,383366,16456,15655,95.132474
2024,383367,115946,110574,95.366809
2024,383368,519693,496198,95.479062
2024,383377,169897,162087,95.403097
2024,383417,496835,474042,95.412360
2024,383418,541065,517086,95.568185
2024,383447,300772,283062,94.111819
2024,383448,306840,288316,93.962977
2024,383449,639867,602253,94.121591
2024,383467,100679,94749,94.109993
2024,383468,1189252,1117784,93.990508
2024,383485,35926,33728,93.881868
2024,383486,68106,63667,93.482219
2024,383487,1178146,1104562,93.754255
2024,383496,105977,99289,93.689197
2024,383512,1086667,1018533,93.730002
2024,383514,56231,52744,93.798794
2024,383536,90825,85133,93.733003
2024,383537,48566,45379,93.437796
2024,383541,199891,187435,93.768604
2024,383629,112186,107344,95.683953
2024,383630,192480,184384,95.793849
2024,383631,944877,905004,95.780086
2024,383647,55913,53503,95.689732
2024,383648,150976,144393,95.639704
2024,383649,225532,215736,95.656492
2024,383650,25302,24055,95.071536
2024,383661,51334,49179,95.802003
2024,383662,117626,112566,95.698230
2024,383669,411188,393270,95.642383
2024,383687,300082,287558,95.826474
2024,383692,547084,522914,95.582031
2024,383693,99821,95366,95.537011
2024,383694,13059,12441,95.267632
2024,383695,395026,378376,95.785088
2024,383712,978701,935694,95.605706
2024,383724,88931,85046,95.631445
2024,383740,425822,406812,95.535693
2024,383741,374702,358172,95.588494
2024,383756,870490,832247,95.606727
2024,383758,13236,12615,95.308250
2024,383767,990575,946582,95.558842
2024,383779,83212,79621,95.684517
2024,383811,16737,16022,95.728028
2024,383812,219228,209821,95.709034
2024,383813,67925,64923,95.580420
2024,383814,763468,730054,95.623392
2024,383830,68234,65201,95.555002
2024,383832,258444,247191,95.645865
2024,383833,113217,108316,95.671145
2024,383834,289666,276669,95.513108
2024,383854,672384,642656,95.578717
2024,383855,497746,476264,95.684144
2024,383900,11052,10611,96.009772
2024,383907,387179,369945,95.548829
2024,383908,9782,9318,95.256594
2024,383948,558195,534009,95.667106
2024,383949,538037,515133,95.743044
2024,383996,1097361,1047968,95.498929
2024,384014,232944,222574,95.548286
2024,384029,276407,264246,95.600329
2024,384052,951367,908678,95.512878
2024,384069,697051,664859,95.381687
2024,384070,350774,335722,95.708918
2024,384124,30160,28853,95.666446
2024,384126,9167,8708,94.992909
2024,384127,9119,8677,95.152977
2024,384128,854709,815273,95.386032
2024,384187,192987,184317,95.507469
2024,384188,164553,157223,95.545508
2024,384202,899463,859522,95.559462
2024,384203,2392,2288,95.652174
2024,384204,95128,90861,95.514465
2024,384209,492214,470386,95.565344
2024,384238,199297,190143,95.406855
2024,384239,733164,700061,95.484912
2024,384244,60162,57600,95.741498
2024,384264,449153,429292,95.578121
2024,384265,258516,246865,95.493122
2024,384290,33106,31698,95.746995
2024,384291,841984,804682,95.569750
2024,384318,5661,5424,95.813461
2024,384322,270344,258477,95.610407
2024,384323,269523,257720,95.620782
2024,384331,257625,246029,95.498884
2024,384332,307948,294505,95.634653
2024,384377,229752,219570,95.568265
2024,384378,105832,101152,95.577897
2024,384380,17320,16573,95.687067
2024,384382,100513,96040,95.549829
2024,384383,372624,356490,95.670166
2024,384406,248802,237806,95.580421
2024,384413,983800,938790,95.424883
2024,384446,77324,73992,95.690859
2024,384464,73963,70517,95.340914
2024,384468,809670,773499,95.532624
2024,384485,43196,41291,95.589869
2024,384486,21008,20044,95.411272
2024,384487,19144,18284,95.507731
2024,384489,17598,16751,95.186953
2024,384490,19573,18703,95.555101
2024,384491,19685,18720,95.097790
2024,384492,804868,768448,95.475034
2024,384565,876178,836866,95.513240
2024,384579,330662,316082,95.590664
2024,384591,81376,77728,95.517106
2024,384593,87448,83388,95.357241
2024,384610,210760,201604,95.655722
2024,384614,760096,725462,95.443470
2024,384638,318679,304444,95.533123
2024,384644,623209,595243,95.512581
2024,384933,231094,220440,95.389755
2024,384934,1146,1098,95.811518
2024,384935,756179,723018,95.614663
2024,384950,100249,95775,95.537113
2024,384951,623601,595803,95.542342
2024,384963,1221615,1165861,95.436042
2024,384981,993439,950085,95.635968
2024,385012,106396,101625,95.515809
2024,385016,323497,308770,95.447562
2024,385094,555887,530423,95.419213
2024,385100,2259,2167,95.927402
2024,385127,1215861,1161452,95.525064
2024,385134,187027,178758,95.578713
2024,385142,1157992,1106437,95.547897
2024,385152,733159,699654,95.430050
2024,385153,458642,438518,95.612264
2024,385168,1071948,1023973,95.524503
2024,385178,310499,296874,95.611902
2024,385194,721007,688598,95.505037
2024,385260,334458,319512,95.531277
2024,385281,877153,835297,95.228199
2024,385284,73341,69901,95.309581
2024,385285,136711,130507,95.461960
2024,385286,504906,481696,95.403105
2024,385311,47510,45184,95.104189
2024,385312,222476,211310,94.981032
2024,385324,1087196,1031569,94.883443
2024,385354,500605,475802,95.045395
2024,385355,407429,387188,95.032018
2024,385383,210322,199721,94.959633
2024,385386,6090,5805,95.320197
2024,385387,233633,221741,94.909966
2024,385390,676388,642943,95.055353
2024,385391,127342,121259,95.223100
2024,385408,126409,120005,94.933905
